Time,Distance,LapNumber,Driver,DriverNumber
0 days 00:00:00,0.0,1,OCO,31
0 days 00:00:00.221000,0.0,1,OCO,31
0 days 00:00:00.381000,0.0,1,OCO,31
0 days 00:00:00.541000,0.0,1,OCO,31
0 days 00:00:00.781000,0.0,1,OCO,31
0 days 00:00:01.021000,0.0,1,OCO,31
0 days 00:00:01.501000,0.0,1,OCO,31
0 days 00:00:01.741000,0.0,1,OCO,31
0 days 00:00:01.941000,0.0,1,OCO,31
0 days 00:00:02.260000,0.0,1,OCO,31
0 days 00:00:02.540000,0.0,1,OCO,31
0 days 00:00:02.740000,0.0,1,OCO,31
0 days 00:00:02.980000,0.0,1,OCO,31
0 days 00:00:03.340000,0.0,1,OCO,31
0 days 00:00:03.740000,0.0,1,OCO,31
0 days 00:00:04.860000,0.0,1,OCO,31
0 days 00:00:05.060000,0.0,1,OCO,31
0 days 00:00:05.300000,0.0,1,OCO,31
0 days 00:00:05.540000,0.0,1,OCO,31
0 days 00:00:05.861000,0.0,1,OCO,31
0 days 00:00:06.181000,0.0,1,OCO,31
0 days 00:00:06.421000,0.0,1,OCO,31
0 days 00:00:06.661000,0.0,1,OCO,31
0 days 00:00:06.941000,0.0,1,OCO,31
0 days 00:00:07.181000,0.0,1,OCO,31
0 days 00:00:07.341000,0.0,1,OCO,31
0 days 00:00:07.701000,0.0,1,OCO,31
0 days 00:00:08.101000,0.0,1,OCO,31
0 days 00:00:08.261000,0.0,1,OCO,31
0 days 00:00:08.541000,0.0,1,OCO,31
0 days 00:00:08.900000,0.0,1,OCO,31
0 days 00:00:09.060000,0.0,1,OCO,31
0 days 00:00:09.380000,0.0,1,OCO,31
0 days 00:00:09.580000,0.0,1,OCO,31
0 days 00:00:09.981000,0.0,1,OCO,31
0 days 00:00:10.380000,0.0,1,OCO,31
0 days 00:00:10.580000,0.0,1,OCO,31
0 days 00:00:10.900000,0.0,1,OCO,31
0 days 00:00:11.140000,0.0,1,OCO,31
0 days 00:00:11.381000,0.0,1,OCO,31
0 days 00:00:11.701000,0.0,1,OCO,31
0 days 00:00:12.100000,0.0,1,OCO,31
0 days 00:00:12.461000,0.0,1,OCO,31
0 days 00:00:12.781000,0.0,1,OCO,31
0 days 00:00:13.061000,0.0,1,OCO,31
0 days 00:00:13.381000,0.0,1,OCO,31
0 days 00:00:13.621000,0.0,1,OCO,31
0 days 00:00:13.861000,0.0,1,OCO,31
0 days 00:00:14.141000,0.0,1,OCO,31
0 days 00:00:14.381000,0.0,1,OCO,31
0 days 00:00:14.541000,0.0,1,OCO,31
0 days 00:00:14.701000,0.0,1,OCO,31
0 days 00:00:14.941000,0.0,1,OCO,31
0 days 00:00:15.261000,0.0,1,OCO,31
0 days 00:00:15.580000,0.0,1,OCO,31
0 days 00:00:15.900000,0.0,1,OCO,31
0 days 00:00:16.220000,0.0,1,OCO,31
0 days 00:00:16.420000,0.0,1,OCO,31
0 days 00:00:16.620000,0.0,1,OCO,31
0 days 00:00:16.780000,0.0,1,OCO,31
0 days 00:00:17.021000,0.0,1,OCO,31
0 days 00:00:17.260000,0.0,1,OCO,31
0 days 00:00:17.540000,0.0,1,OCO,31
0 days 00:00:17.820000,0.0,1,OCO,31
0 days 00:00:18.181000,0.0,1,OCO,31
0 days 00:00:18.541000,0.0,1,OCO,31
0 days 00:00:18.701000,0.0,1,OCO,31
0 days 00:00:18.901000,0.0,1,OCO,31
0 days 00:00:19.181000,0.0,1,OCO,31
0 days 00:00:19.461000,0.0,1,OCO,31
0 days 00:00:19.861000,0.0,1,OCO,31
0 days 00:00:20.181000,0.0,1,OCO,31
0 days 00:00:20.541000,0.0,1,OCO,31
0 days 00:00:20.781000,0.0,1,OCO,31
0 days 00:00:21.061000,0.0,1,OCO,31
0 days 00:00:21.221000,0.0,1,OCO,31
0 days 00:00:21.381000,0.0,1,OCO,31
0 days 00:00:21.741000,0.0,1,OCO,31
0 days 00:00:22.101000,0.0,1,OCO,31
0 days 00:00:22.340000,0.0,1,OCO,31
0 days 00:00:22.540000,0.0,1,OCO,31
0 days 00:00:22.940000,0.0,1,OCO,31
0 days 00:00:23.220000,0.0,1,OCO,31
0 days 00:00:23.620000,0.0,1,OCO,31
0 days 00:00:24.020000,0.0,1,OCO,31
0 days 00:00:24.381000,0.0,1,OCO,31
0 days 00:00:24.860000,0.0,1,OCO,31
0 days 00:00:25.020000,0.0,1,OCO,31
0 days 00:00:25.301000,0.0,1,OCO,31
0 days 00:00:25.581000,0.0,1,OCO,31
0 days 00:00:25.861000,0.0,1,OCO,31
0 days 00:00:26.141000,0.0,1,OCO,31
0 days 00:00:26.381000,0.0,1,OCO,31
0 days 00:00:26.661000,0.0,1,OCO,31
0 days 00:00:27.141000,0.0,1,OCO,31
0 days 00:00:27.301000,0.0,1,OCO,31
0 days 00:00:27.461000,0.0,1,OCO,31
0 days 00:00:27.661000,0.0,1,OCO,31
0 days 00:00:27.821000,0.0,1,OCO,31
0 days 00:00:28.181000,0.599999999999999,1,OCO,31
0 days 00:00:28.501000,1.311111111111111,1,OCO,31
0 days 00:00:28.701000,1.8666666666666645,1,OCO,31
0 days 00:00:28.860000,2.3524999999999947,1,OCO,31
0 days 00:00:29.060000,3.0747222222222144,1,OCO,31
0 days 00:00:29.380000,4.496944444444438,1,OCO,31
0 days 00:00:29.700000,6.185833333333328,1,OCO,31
0 days 00:00:30.020000,8.052499999999997,1,OCO,31
0 days 00:00:30.420000,10.83027777777779,1,OCO,31
0 days 00:00:30.701000,12.859722222222224,1,OCO,31
0 days 00:00:31.100000,15.630555555555564,1,OCO,31
0 days 00:00:31.540000,18.686111111111103,1,OCO,31
0 days 00:00:31.700000,19.797222222222214,1,OCO,31
0 days 00:00:31.901000,21.19305555555555,1,OCO,31
0 days 00:00:32.061000,22.348611111111104,1,OCO,31
0 days 00:00:32.221000,23.504166666666634,1,OCO,31
0 days 00:00:32.501000,25.759722222222198,1,OCO,31
0 days 00:00:32.701000,27.481944444444444,1,OCO,31
0 days 00:00:32.981000,30.04861111111112,1,OCO,31
0 days 00:00:33.381000,34.159722222222214,1,OCO,31
0 days 00:00:33.581000,36.38194444444447,1,OCO,31
0 days 00:00:33.781000,38.71527777777776,1,OCO,31
0 days 00:00:34.101000,42.62638888888887,1,OCO,31
0 days 00:00:34.261000,44.58194444444447,1,OCO,31
0 days 00:00:34.541000,48.00416666666661,1,OCO,31
0 days 00:00:34.741000,50.393055555555534,1,OCO,31
0 days 00:00:35.061000,54.03749999999998,1,OCO,31
0 days 00:00:35.261000,56.25972222222224,1,OCO,31
0 days 00:00:35.660000,60.803888888888835,1,OCO,31
0 days 00:00:35.940000,64.07055555555552,1,OCO,31
0 days 00:00:36.260000,67.89277777777774,1,OCO,31
0 days 00:00:36.740000,73.62611111111111,1,OCO,31
0 days 00:00:37.100000,78.22611111111111,1,OCO,31
0 days 00:00:37.340000,81.35944444444446,1,OCO,31
0 days 00:00:37.740000,86.80388888888889,1,OCO,31
0 days 00:00:38.420000,96.43722222222222,1,OCO,31
0 days 00:00:38.621000,99.34055555555555,1,OCO,31
0 days 00:00:39.061000,105.94055555555552,1,OCO,31
0 days 00:00:39.421000,111.34055555555551,1,OCO,31
0 days 00:00:39.661000,114.87388888888887,1,OCO,31
0 days 00:00:39.941000,118.91833333333334,1,OCO,31
0 days 00:00:40.141000,121.75166666666661,1,OCO,31
0 days 00:00:40.501000,126.7516666666666,1,OCO,31
0 days 00:00:40.701000,129.5294444444444,1,OCO,31
0 days 00:00:40.901000,132.30722222222224,1,OCO,31
0 days 00:00:41.141000,135.6405555555555,1,OCO,31
0 days 00:00:41.421000,139.5294444444444,1,OCO,31
0 days 00:00:41.661000,142.9961111111111,1,OCO,31
0 days 00:00:42.021000,148.3961111111111,1,OCO,31
0 days 00:00:42.460000,155.225,1,OCO,31
0 days 00:00:42.620000,157.75833333333327,1,OCO,31
0 days 00:00:42.780000,160.29166666666666,1,OCO,31
0 days 00:00:43.140000,166.29166666666666,1,OCO,31
0 days 00:00:43.420000,171.1138888888889,1,OCO,31
0 days 00:00:43.740000,176.7138888888889,1,OCO,31
0 days 00:00:44.020000,181.76944444444447,1,OCO,31
0 days 00:00:44.220000,185.49166666666662,1,OCO,31
0 days 00:00:44.501000,191.03361111111104,1,OCO,31
0 days 00:00:44.781000,196.94472222222217,1,OCO,31
0 days 00:00:44.980000,201.31166666666658,1,OCO,31
0 days 00:00:45.261000,207.8683333333334,1,OCO,31
0 days 00:00:45.501000,213.6016666666666,1,OCO,31
0 days 00:00:45.781000,220.91277777777773,1,OCO,31
0 days 00:00:46.261000,234.77944444444452,1,OCO,31
0 days 00:00:46.421000,239.40166666666664,1,OCO,31
0 days 00:00:46.781000,250.80166666666662,1,OCO,31
0 days 00:00:46.981000,257.13500000000005,1,OCO,31
0 days 00:00:47.141000,262.46833333333325,1,OCO,31
0 days 00:00:47.341000,269.3572222222222,1,OCO,31
0 days 00:00:47.661000,279.935,1,OCO,31
0 days 00:00:47.821000,285.1349999999999,1,OCO,31
0 days 00:00:48.101000,294.1572222222221,1,OCO,31
0 days 00:00:48.341000,301.7572222222222,1,OCO,31
0 days 00:00:48.541000,307.86833333333317,1,OCO,31
0 days 00:00:48.781000,314.9349999999999,1,OCO,31
0 days 00:00:49.020000,321.5738888888889,1,OCO,31
0 days 00:00:49.340000,330.0183333333334,1,OCO,31
0 days 00:00:49.781000,340.1858333333333,1,OCO,31
0 days 00:00:49.980000,344.5527777777777,1,OCO,31
0 days 00:00:50.420000,353.475,1,OCO,31
0 days 00:00:50.820000,361.03055555555557,1,OCO,31
0 days 00:00:51.060000,365.4305555555556,1,OCO,31
0 days 00:00:51.220000,368.3638888888889,1,OCO,31
0 days 00:00:51.501000,373.6716666666666,1,OCO,31
0 days 00:00:51.821000,379.98277777777776,1,OCO,31
0 days 00:00:51.981000,383.2716666666667,1,OCO,31
0 days 00:00:52.141000,386.6494444444444,1,OCO,31
0 days 00:00:52.381000,391.98277777777776,1,OCO,31
0 days 00:00:52.621000,397.5827777777778,1,OCO,31
0 days 00:00:52.981000,406.68277777777774,1,OCO,31
0 days 00:00:53.141000,410.77166666666653,1,OCO,31
0 days 00:00:53.581000,422.74944444444446,1,OCO,31
0 days 00:00:53.861000,430.7605555555554,1,OCO,31
0 days 00:00:54.221000,441.7605555555554,1,OCO,31
0 days 00:00:54.621000,454.9827777777778,1,OCO,31
0 days 00:00:54.781000,460.4938888888888,1,OCO,31
0 days 00:00:55.061000,470.8383333333333,1,OCO,31
0 days 00:00:55.461000,486.72722222222217,1,OCO,31
0 days 00:00:55.900000,505.3847222222222,1,OCO,31
0 days 00:00:56.180000,517.9847222222222,1,OCO,31
0 days 00:00:56.420000,529.1180555555557,1,OCO,31
0 days 00:00:56.660000,540.7847222222221,1,OCO,31
0 days 00:00:56.860000,550.7291666666666,1,OCO,31
0 days 00:00:57.260000,571.2847222222221,1,OCO,31
0 days 00:00:57.420000,579.5069444444445,1,OCO,31
0 days 00:00:57.701000,594.1813888888888,1,OCO,31
0 days 00:00:58.101000,614.6258333333332,1,OCO,31
0 days 00:00:58.501000,634.8480555555553,1,OCO,31
0 days 00:00:58.701000,644.903611111111,1,OCO,31
0 days 00:00:59.181000,669.1702777777775,1,OCO,31
0 days 00:00:59.461000,683.1702777777775,1,OCO,31
0 days 00:00:59.781000,698.6369444444442,1,OCO,31
0 days 00:01:00.061000,712.0147222222221,1,OCO,31
0 days 00:01:00.341000,725.3147222222221,1,OCO,31
0 days 00:01:00.621000,738.3036111111111,1,OCO,31
0 days 00:01:00.901000,750.9813888888889,1,OCO,31
0 days 00:01:01.301000,768.0925,1,OCO,31
0 days 00:01:01.701000,784.0925,1,OCO,31
0 days 00:01:01.861000,790.2258333333332,1,OCO,31
0 days 00:01:02.181000,801.9591666666665,1,OCO,31
0 days 00:01:02.500000,813.3013888888888,1,OCO,31
0 days 00:01:02.860000,825.2013888888888,1,OCO,31
0 days 00:01:03.180000,835.3347222222221,1,OCO,31
0 days 00:01:03.500000,845.2013888888888,1,OCO,31
0 days 00:01:03.740000,852.6013888888889,1,OCO,31
